start_time,blog,post_count,title_fields,author_fields,date_fields,content_fields,labels_fields,comment-count_fields,title_cleaners,author_cleaners,date_cleaners,content_cleaners,labels_cleaners,comment-count_cleaners
2012-01-31 16:43:02.943655,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/ninjanun.blogspot.com/,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31 16:43:02.962308,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/forumforforeignaffairs.blogspot.com/,54,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:03.244627,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/dssfeed.blogspot.com/,65,0,0,0,0,20,20,0,0,0,0,20,20
2012-01-31 16:43:03.427536,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/boogeymanchronicles.blogspot.com/,32,0,0,0,0,20,20,0,0,0,0,20,20
2012-01-31 16:43:03.552403,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/njopengovt.blogspot.com/,226,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:03.739406,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/pilcrowpress.blogspot.com/,263,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31 16:43:04.574439,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/pmbcomments.blogspot.com/,293,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31 16:43:04.786693,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/contrariancommentary.blogspot.com/,573,0,0,0,0,0,20,0,0,0,0,0,20
2012-01-31 16:43:05.043181,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/fiddleferme.blogspot.com/,467,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:05.701288,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/migramatters.blogspot.com/,454,0,0,20,0,20,20,0,0,20,0,20,20
2012-01-31 16:43:06.253247,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/absolutezerounites.blogspot.com/,174,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:06.576651,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/bonoboathome.blogspot.com/,2038,19,20,20,20,20,18,19,20,20,20,20,18
2012-01-31 16:43:07.368343,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/realtruthonline.blogspot.com/,841,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:08.383622,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/themediabusiness.blogspot.com/,76,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:08.583194,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/www.scrapsofmoscow.blogspot.com/,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31 16:43:08.583756,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/canadianinternationalpeaceproject.blogspot.com/,9,9,9,9,9,9,9,9,9,9,9,9,9
2012-01-31 16:43:08.625501,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/dodocanspell.blogspot.com/,3090,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:09.393699,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/unrulymob.blogspot.com/,1041,0,0,0,0,0,20,0,0,0,0,0,0
2012-01-31 16:43:09.751813,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/bssandbrninalain.blogspot.com/,530,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:10.175286,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/lesforlife.blogspot.com/,873,6,20,20,20,20,20,6,20,20,20,20,20
2012-01-31 16:43:11.258474,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/cheladirittaviaerasmarrita.blogspot.com/,761,20,20,20,20,20,20,20,20,20,20,20,20
